City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI,AQI_Bucket,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NO_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex
Faridpur,71.49,86.78,4.83,11.14,480.65,0.45,108.72,23.56,138.29999999999998,Moderate,86.78,138.29999999999998,6.0375,0.5625,5.89,3027.3529411764707,112.82352941176471
Gazipur,77.67,91.71,4.11,7.28,500.68,0.27,118.73,18.24,158.9,Moderate,91.71,158.9,5.137500000000001,0.3375,4.56,3145.176470588235,127.54411764705883
Gopalganj,174.05,200.46,19.07,13.2,854.49,0.38,191.69,69.92,341.5769230769231,Very Poor,166.97333333333333,341.5769230769231,23.8375,0.475,17.48,5226.411764705882,259.225
Jamalpur,109.02,127.1,12.99,9.51,694.28,0.54,114.44,24.07,263.4,Poor,118.06666666666666,263.4,16.2375,0.675,6.0175,4284.0,121.23529411764706
Kishoreganj,62.51,76.67,2.44,12.34,587.46,0.55,103.0,26.85,108.36666666666666,Moderate,76.67,108.36666666666666,3.05,0.6875000000000001,6.7125,3655.6470588235293,104.41176470588235
Madaripur,83.51,100.65,5.42,9.17,527.38,0.3,117.3,23.05,178.36666666666667,Moderate,100.43333333333334,178.36666666666667,6.775,0.375,5.7625,3302.235294117647,125.44117647058823
Manikganj,75.57,90.35,5.78,4.37,473.98,0.15,133.04,19.51,151.89999999999998,Moderate,90.35,151.89999999999998,7.225,0.1875,4.8775,2988.1176470588234,148.58823529411762
Munshiganj,84.19,112.21,7.57,12.17,647.54,0.41,134.47,19.76,180.63333333333333,Moderate,108.14,180.63333333333333,9.4625,0.5125,4.94,4009.0588235294117,150.69117647058823
Mymensingh,60.32,69.65,2.62,3.64,460.63,0.15,130.18,14.44,101.06666666666666,Moderate,69.65,101.06666666666666,3.275,0.1875,3.61,2909.5882352941176,144.3823529411765
Narayanganj,114.93,145.37,13.59,84.31,2243.04,6.31,72.24,32.93,283.1,Poor,130.24666666666667,283.1,16.9875,7.8875,8.2325,13394.35294117647,72.24
Narsingdi,73.34,86.32,4.05,4.37,473.98,0.14,138.76,14.82,144.4666666666667,Moderate,86.32,144.4666666666667,5.0625,0.17500000000000002,3.705,2988.1176470588234,157.0
Netrokona,67.36,77.95,1.74,13.02,607.49,0.69,103.0,22.29,124.53333333333333,Moderate,77.95,124.53333333333333,2.175,0.8625,5.5725,3773.470588235294,104.41176470588235
Rajbari,63.06,77.36,4.35,8.48,460.63,0.36,113.01,21.53,110.2,Moderate,77.36,110.2,5.437499999999999,0.45,5.3825,2909.5882352941176,119.13235294117648
Shariatpur,83.33,96.19,10.01,2.68,440.6,0.06,205.99,8.61,177.76666666666665,Moderate,96.19,177.76666666666665,12.5125,0.075,2.1525,2791.764705882353,294.975
Sherpur,41.56,48.74,1.7,4.71,433.92,0.27,105.86,18.49,69.26666666666667,Satisfactory,48.74,69.26666666666667,2.125,0.3375,4.6225,2752.470588235294,108.61764705882354
Tangail,71.41,82.92,4.05,5.57,473.98,0.2,145.91,13.3,138.0333333333333,Moderate,82.92,138.0333333333333,5.0625,0.25,3.325,2988.1176470588234,167.51470588235293
Bogra,61.33,71.68,2.15,9.94,560.76,0.64,95.84,21.53,104.43333333333332,Moderate,71.68,104.43333333333332,2.6875,0.8,5.3825,3498.5882352941176,95.84
Joypurhat,57.77,65.77,3.01,6.86,520.71,0.35,125.89,12.92,96.28333333333333,Satisfactory,65.77,96.28333333333333,3.7625,0.4375,3.23,3263.0,138.0735294117647
Naogaon,61.15,70.04,3.87,4.5,467.3,0.22,127.32,15.45,103.83333333333333,Moderate,70.04,103.83333333333333,4.8375,0.275,3.8625,2948.823529411765,140.17647058823528
Natore,73.19,86.33,2.24,6.34,520.71,0.42,87.98,23.05,143.96666666666667,Moderate,86.33,143.96666666666667,2.8000000000000003,0.525,5.7625,3263.0,87.98
Nawabganj,180.61,206.37,20.03,9.17,907.9,0.44,158.79,49.14,346.62307692307695,Very Poor,170.91333333333333,346.62307692307695,25.0375,0.55,12.285,5540.588235294118,186.45588235294116
Pabna,73.97,87.11,3.93,9.6,514.03,0.35,131.61,18.49,146.56666666666666,Moderate,87.11,146.56666666666666,4.9125,0.4375,4.6225,3223.705882352941,146.48529411764707
Rajshahi,100.3,116.5,13.59,14.05,607.49,0.43,158.79,17.48,234.33333333333331,Poor,111.0,234.33333333333331,16.9875,0.5375,4.37,3773.470588235294,186.45588235294116
Sirajgonj,67.33,80.54,2.71,6.34,487.33,0.31,103.0,22.04,124.43333333333332,Moderate,80.54,124.43333333333332,3.3875,0.3875,5.51,3066.6470588235293,104.41176470588235
Dinajpur,49.07,57.86,1.68,3.43,507.36,0.19,101.57,14.69,81.78333333333333,Satisfactory,57.86,81.78333333333333,2.1,0.2375,3.6725,3184.470588235294,102.30882352941175
Gaibandha,59.22,71.36,1.8,5.48,587.46,0.34,84.4,27.36,98.7,Satisfactory,71.36,98.7,2.25,0.425,6.84,3655.6470588235293,84.4
Kurigram,54.29,65.24,2.09,5.66,620.84,0.3,95.84,26.09,90.48333333333333,Satisfactory,65.24,90.48333333333333,2.6125,0.375,6.5225,3852.0,95.84
Lalmonirhat,45.38,58.13,2.15,3.77,594.14,0.22,90.12,20.52,75.63333333333334,Satisfactory,58.13,75.63333333333334,2.6875,0.275,5.13,3694.9411764705883,90.12
Nilphamari,42.62,53.76,1.88,4.88,567.44,0.35,80.11,28.88,71.03333333333333,Satisfactory,53.76,71.03333333333333,2.35,0.4375,7.22,3537.882352941177,80.11
Panchagarh,39.74,50.43,2.68,8.65,654.22,0.68,62.23,21.03,66.23333333333333,Satisfactory,50.43,66.23333333333333,3.35,0.85,5.2575,4048.3529411764707,62.23
Rangpur,53.4,67.0,2.0,5.48,634.19,0.39,80.11,31.67,89.0,Satisfactory,67.0,89.0,2.5,0.4875,7.9175,3930.5294117647063,80.11
Thakurgaon,38.27,48.45,1.86,3.81,514.03,0.27,75.1,20.27,63.78333333333334,Satisfactory,48.45,63.78333333333334,2.325,0.3375,5.0675,3223.705882352941,75.1
Barguna,107.79,120.88,7.15,2.25,480.65,0.07,131.61,9.63,259.3,Poor,113.92,259.3,8.9375,0.08750000000000001,2.4075,3027.3529411764707,146.48529411764707
Barisal,93.94,111.36,4.65,4.84,540.73,0.16,105.86,22.29,213.13333333333333,Poor,107.57333333333334,213.13333333333333,5.812500000000001,0.2,5.5725,3380.764705882353,108.61764705882354
Bhola,82.42,94.95,5.25,3.51,473.98,0.11,134.47,18.49,174.73333333333335,Moderate,94.95,174.73333333333335,6.5625,0.1375,4.6225,2988.1176470588234,150.69117647058823
Jhalokati,90.72,103.75,8.35,4.11,467.3,0.11,163.08,10.13,202.4,Poor,102.5,202.4,10.4375,0.1375,2.5325,2948.823529411765,192.76470588235296
Patuakhali,91.41,106.53,5.25,5.06,527.38,0.18,107.29,22.8,204.7,Poor,104.35333333333334,204.7,6.5625,0.225,5.7,3302.235294117647,110.72058823529413
Pirojpur,101.77,115.81,9.66,6.77,507.36,0.18,153.07,8.61,239.23333333333332,Poor,110.54,239.23333333333332,12.075,0.225,2.1525,3184.470588235294,178.0441176470588
Bandarban,62.86,71.18,5.25,4.97,403.88,0.19,118.73,7.79,109.53333333333333,Moderate,71.18,109.53333333333333,6.5625,0.2375,1.9475,2575.764705882353,127.54411764705883
Brahmanbaria,73.7,87.19,21.46,11.31,494.0,0.31,160.22,13.81,145.66666666666669,Moderate,87.19,145.66666666666669,26.825,0.3875,3.4525,3105.8823529411766,188.55882352941177
Chandpur,82.78,97.22,13.35,5.48,487.33,0.14,181.68,14.44,175.93333333333334,Moderate,97.22,175.93333333333334,16.6875,0.17500000000000002,3.61,3066.6470588235293,234.20000000000002
Chittagong,102.16,117.1,3.43,13.88,614.17,0.48,140.19,11.4,240.5333333333333,Poor,111.39999999999999,240.5333333333333,4.2875,0.6,2.85,3812.7647058823527,159.10294117647058
Comilla,85.79,100.15,22.89,8.57,514.03,0.2,194.55,15.2,185.9666666666667,Moderate,100.10000000000001,185.9666666666667,28.6125,0.25,3.8,3223.705882352941,266.375
CoxBazar,96.75,106.39,3.58,3.98,467.3,0.12,161.65,5.76,222.5,Poor,104.26,222.5,4.475,0.15,1.44,2948.823529411765,190.66176470588238
Feni,57.53,68.42,4.71,3.47,383.85,0.12,143.05,11.53,95.88333333333333,Satisfactory,68.42,95.88333333333333,5.8875,0.15,2.8825,2457.9411764705883,163.30882352941177
Khagrachari,46.74,54.59,4.05,1.37,317.1,0.04,130.18,4.69,77.9,Satisfactory,54.59,77.9,5.0625,0.05,1.1725,2065.294117647059,144.3823529411765
Lakshmipur,68.28,82.82,3.52,2.74,447.27,0.09,135.9,13.68,127.60000000000001,Moderate,82.82,127.60000000000001,4.4,0.1125,3.42,2831.0,152.79411764705884
Noakhali,62.46,75.98,3.37,3.77,460.63,0.18,92.98,16.97,108.2,Moderate,75.98,108.2,4.2125,0.225,4.2425,2909.5882352941176,92.97999999999999
Rangamati,54.7,61.85,2.56,0.53,317.1,0.02,111.58,2.95,91.16666666666667,Satisfactory,61.85,91.16666666666667,3.2,0.025,0.7375,2065.294117647059,117.02941176470588
Habiganj,70.13,80.89,1.94,3.26,500.68,0.19,82.97,16.97,133.76666666666665,Moderate,80.89,133.76666666666665,2.425,0.2375,4.2425,3145.176470588235,82.97
Maulvibazar,59.0,68.34,2.12,5.18,447.27,0.2,118.73,12.29,98.33333333333334,Satisfactory,68.34,98.33333333333334,2.65,0.25,3.0725,2831.0,127.54411764705883
Sunamganj,62.68,70.69,1.57,2.87,453.95,0.19,77.96,8.99,108.93333333333334,Moderate,70.69,108.93333333333334,1.9625,0.2375,2.2475,2870.294117647059,77.96
Sylhet,93.76,106.14,3.93,6.68,587.46,0.31,108.72,12.41,212.53333333333336,Poor,104.09333333333333,212.53333333333336,4.9125,0.3875,3.1025,3655.6470588235293,112.82352941176471
Bagerhat,107.5,121.72,6.97,12.85,640.87,0.33,144.48,11.78,258.3333333333333,Poor,114.48,258.3333333333333,8.7125,0.4125,2.945,3969.823529411765,165.41176470588232
Chuadanga,66.52,82.94,3.82,7.71,480.65,0.4,87.98,28.88,121.73333333333332,Moderate,82.94,121.73333333333332,4.775,0.5,7.22,3027.3529411764707,87.98
Jessore,91.13,107.86,3.93,10.45,580.79,0.4,104.43,22.04,203.76666666666665,Poor,105.24,203.76666666666665,4.9125,0.5,5.51,3616.4117647058824,106.51470588235296
Jhenaidah,68.11,82.83,4.47,5.06,440.6,0.19,123.02,19.51,127.03333333333333,Moderate,82.83,127.03333333333333,5.5875,0.2375,4.8775,2791.764705882353,133.85294117647058
Khulna,96.69,111.69,5.07,8.65,527.38,0.25,118.73,13.55,222.29999999999998,Poor,107.79333333333334,222.29999999999998,6.3375,0.3125,3.3875,3302.235294117647,127.54411764705883
Kushtia,72.19,87.22,4.77,6.94,480.65,0.3,104.43,21.28,140.63333333333333,Moderate,87.22,140.63333333333333,5.9624999999999995,0.375,5.32,3027.3529411764707,106.51470588235296
Magura,74.05,89.96,4.59,13.02,494.0,0.53,111.58,25.84,146.83333333333331,Moderate,89.96,146.83333333333331,5.7375,0.6625,6.46,3105.8823529411766,117.02941176470588
Meherpur,78.61,96.6,6.68,12.51,627.52,0.57,101.57,26.09,162.03333333333333,Moderate,96.6,162.03333333333333,8.35,0.7124999999999999,6.5225,3891.294117647059,102.30882352941175
Narail,86.87,103.7,3.87,15.08,600.82,0.64,98.71,23.81,189.56666666666666,Moderate,102.46666666666667,189.56666666666666,4.8375,0.8,5.9525,3734.2352941176473,98.71
Satkhira,170.81,194.9,26.46,10.03,720.98,0.2,124.45,14.19,339.0846153846154,Very Poor,163.26666666666665,339.0846153846154,33.075,0.25,3.5475,4441.058823529412,135.9558823529412
Dhaka,112.33,152.77,4.11,25.36,988.01,0.0,37.19,46.1,274.43333333333334,Poor,135.18,274.43333333333334,5.137500000000001,0.0,11.525,6011.823529411765,37.19
Faridpur,107.73,145.18,4.65,34.62,961.3,0.01,18.6,64.34,259.1,Poor,130.12,259.1,5.812500000000001,0.0125,16.085,5854.705882352941,18.6
Gazipur,88.89,109.77,2.56,13.54,700.95,0.0,60.8,29.13,196.3,Moderate,106.51333333333334,196.3,3.2,0.0,7.2825,4323.235294117647,60.8
Gopalganj,242.97,316.0,20.98,40.78,1735.69,0.0,53.64,143.89,394.5923076923077,Very Poor,266.0,394.5923076923077,26.225,0.0,35.9725,10409.941176470587,53.64
Jamalpur,197.08,237.68,17.88,32.56,1508.71,0.0,57.94,50.16,359.2923076923077,Very Poor,191.78666666666666,359.2923076923077,22.35,0.0,12.54,9074.764705882353,57.94
Kishoreganj,100.09,124.49,2.15,42.84,1214.98,0.0,31.11,36.99,233.63333333333335,Poor,116.32666666666667,233.63333333333335,2.6875,0.0,9.2475,7346.941176470588,31.11
Madaripur,113.56,153.96,5.42,26.39,947.95,0.0,36.84,79.04,278.5333333333333,Poor,135.97333333333333,278.5333333333333,6.775,0.0,19.76,5776.176470588235,36.84
Manikganj,100.64,133.16,3.99,17.14,854.49,0.0,54.36,42.56,235.46666666666667,Poor,122.10666666666665,235.46666666666667,4.9875,0.0,10.64,5226.411764705882,54.36
Munshiganj,290.97,385.76,31.95,152.17,4753.11,2.18,4.65,145.91,431.5153846153846,Severe,344.7,431.5153846153846,39.9375,2.7250000000000005,36.4775,28159.47058823529,4.65
Mymensingh,82.72,104.54,2.62,15.94,867.84,0.0,50.07,36.48,175.73333333333335,Moderate,103.02666666666667,175.73333333333335,3.275,0.0,9.12,5304.941176470588,50.07
Narayanganj,216.2,295.78,21.22,79.51,3524.78,30.4,0.0,98.29,374.0,Very Poor,245.77999999999997,374.0,26.525,38.0,24.5725,20934.0,0.0
Narsingdi,92.21,115.68,2.71,11.48,727.65,0.0,67.23,30.65,207.36666666666665,Poor,110.45333333333333,207.36666666666665,3.3875,0.0,7.6625,4480.2941176470595,67.23
Netrokona,74.31,86.97,1.45,16.97,714.3,0.0,34.69,31.41,147.70000000000002,Moderate,86.97,147.70000000000002,1.8125,0.0,7.8525,4401.764705882353,34.69
Rajbari,93.47,129.91,3.76,23.31,881.2,0.0,24.68,41.54,211.56666666666666,Poor,119.94,211.56666666666666,4.7,0.0,10.385,5383.529411764706,24.68
Shariatpur,102.02,138.01,6.2,13.2,687.6,0.0,117.3,37.49,240.06666666666666,Poor,125.33999999999999,240.06666666666666,7.75,0.0,9.3725,4244.7058823529405,125.44117647058823
Sherpur,67.22,81.99,2.62,11.14,694.28,0.0,45.78,32.42,124.06666666666666,Moderate,81.99,124.06666666666666,3.275,0.0,8.105,4284.0,45.78
Tangail,84.74,107.13,4.41,18.34,754.36,0.0,56.51,28.63,182.46666666666664,Moderate,104.75333333333333,182.46666666666664,5.5125,0.0,7.1575,4637.411764705882,56.51
Bogra,75.03,90.65,3.43,16.11,761.03,0.0,63.66,31.16,150.1,Moderate,90.65,150.1,4.2875,0.0,7.79,4676.64705882353,63.66
Joypurhat,90.51,107.28,5.07,21.25,961.3,0.0,61.51,31.67,201.70000000000002,Poor,104.85333333333334,201.70000000000002,6.3375,0.0,7.9175,5854.705882352941,61.51
Naogaon,84.92,103.51,3.93,10.63,741.01,0.0,75.1,30.15,183.06666666666666,Moderate,102.34,183.06666666666666,4.9125,0.0,7.5375,4558.882352941177,75.1
Natore,101.44,120.82,2.0,23.65,934.6,0.0,42.2,33.95,238.13333333333333,Poor,113.88,238.13333333333333,2.5,0.0,8.4875,5697.64705882353,42.2
Nawabganj,209.95,250.6,13.11,29.13,1522.06,0.0,43.63,82.08,369.1923076923077,Very Poor,200.6,369.1923076923077,16.3875,0.0,20.52,9153.29411764706,43.63
Pabna,100.86,133.91,2.86,23.65,921.25,0.01,22.89,46.61,236.2,Poor,122.60666666666665,236.2,3.575,0.0125,11.6525,5619.117647058823,22.89
Rajshahi,113.85,134.19,7.87,14.57,801.09,0.0,81.54,30.91,279.5,Poor,122.79333333333334,279.5,9.8375,0.0,7.7275,4912.294117647059,81.54
Sirajgonj,93.23,121.68,2.5,18.51,827.79,0.0,35.05,53.7,210.76666666666668,Poor,114.45333333333335,210.76666666666668,3.125,0.0,13.425,5069.35294117647,35.05
Dinajpur,64.83,81.22,2.44,8.23,707.63,0.0,62.23,27.87,116.1,Moderate,81.22,116.1,3.05,0.0,6.9675,4362.529411764706,62.23
Gaibandha,95.15,124.57,2.3,23.65,1068.12,0.02,15.56,57.76,217.16666666666669,Poor,116.38,217.16666666666669,2.8749999999999996,0.025,14.44,6483.058823529411,15.56
Kurigram,88.36,113.67,3.67,19.02,1148.22,0.0,43.63,82.08,194.53333333333333,Moderate,109.11333333333333,194.53333333333333,4.5875,0.0,20.52,6954.235294117647,43.63
Lalmonirhat,67.99,95.3,2.33,11.82,881.2,0.0,42.92,40.53,126.63333333333333,Moderate,95.3,126.63333333333333,2.9125,0.0,10.1325,5383.529411764706,42.92
Nilphamari,62.91,82.39,1.74,10.71,747.68,0.0,38.62,36.48,109.69999999999999,Moderate,82.39,109.69999999999999,2.175,0.0,9.12,4598.117647058823,38.62
Panchagarh,87.82,125.88,6.56,31.53,1308.44,0.07,13.05,59.78,192.7333333333333,Moderate,117.25333333333333,192.7333333333333,8.2,0.08750000000000001,14.945,7896.705882352941,13.05
Rangpur,91.45,127.58,5.42,23.31,1174.93,0.0,34.33,123.62,204.83333333333334,Poor,118.38666666666667,204.83333333333334,6.775,0.0,30.905,7111.35294117647,34.33
Thakurgaon,70.9,96.6,3.19,17.31,1001.36,0.0,27.9,36.48,136.33333333333334,Moderate,96.6,136.33333333333334,3.9875,0.0,9.12,6090.35294117647,27.9
Barguna,121.3,137.34,1.71,3.81,487.33,0.0,39.34,15.96,301.0,Very Poor,124.89333333333335,301.0,2.1375,0.0,3.99,3066.6470588235293,39.34
Barisal,129.13,153.77,4.95,12.51,787.74,0.0,63.66,30.4,307.0230769230769,Very Poor,135.84666666666666,307.0230769230769,6.1875,0.0,7.6,4833.764705882353,63.66
Bhola,132.39,150.9,4.89,7.11,687.6,0.0,85.12,28.37,309.53076923076924,Very Poor,133.93333333333334,309.53076923076924,6.112499999999999,0.0,7.0925,4244.7058823529405,85.12
Jhalokati,158.13,181.05,6.97,15.08,807.76,0.0,75.1,26.85,329.33076923076925,Very Poor,154.03333333333333,329.33076923076925,8.7125,0.0,6.7125,4951.529411764706,75.1
Patuakhali,124.33,147.43,4.17,11.48,741.01,0.0,47.21,39.52,303.33076923076925,Very Poor,131.62,303.33076923076925,5.2125,0.0,9.88,4558.882352941177,47.21
Pirojpur,167.39,194.5,5.25,16.97,794.41,0.0,45.42,24.83,336.45384615384614,Very Poor,163.0,336.45384615384614,6.5625,0.0,6.2075,4873.0,45.42
Bandarban,102.91,118.49,2.68,7.11,554.09,0.0,55.79,13.81,243.0333333333333,Poor,112.32666666666667,243.0333333333333,3.35,0.0,3.4525,3459.3529411764707,55.79
Brahmanbaria,112.83,151.75,4.11,33.24,1174.93,0.02,20.92,36.99,276.1,Poor,134.5,276.1,5.137500000000001,0.025,9.2475,7111.35294117647,20.92
Chandpur,111.1,146.46,9.3,23.31,1054.76,0.0,58.65,50.66,270.3333333333333,Poor,130.97333333333333,270.3333333333333,11.625000000000002,0.0,12.665,6404.470588235294,58.65
Chittagong,78.52,95.91,3.99,19.36,674.25,0.0,65.8,20.52,161.73333333333332,Moderate,95.91,161.73333333333332,4.9875,0.0,5.13,4166.176470588235,65.8
Comilla,112.98,144.88,10.49,22.96,1094.82,0.0,66.52,39.52,276.6,Poor,129.92000000000002,276.6,13.1125,0.0,9.88,6640.117647058823,66.52
CoxBazar,127.54,138.41,1.15,5.23,567.44,0.0,94.41,7.35,305.8,Very Poor,125.60666666666665,305.8,1.4374999999999998,0.0,1.8375,3537.882352941177,94.41
Feni,102.16,128.64,11.21,21.42,854.49,0.0,78.68,34.96,240.5333333333333,Poor,119.09333333333332,240.5333333333333,14.0125,0.0,8.74,5226.411764705882,78.68
Khagrachari,81.38,92.04,14.31,3.09,453.95,0.0,150.2,8.36,171.26666666666665,Moderate,92.04,171.26666666666665,17.8875,0.0,2.09,2870.294117647059,173.8235294117647
Lakshmipur,114.71,152.0,5.48,14.05,961.3,0.0,51.5,48.13,282.3666666666667,Poor,134.66666666666666,282.3666666666667,6.85,0.0,12.0325,5854.705882352941,51.5
Noakhali,111.7,143.98,6.26,12.0,921.25,0.0,50.07,40.03,272.33333333333337,Poor,129.32,272.33333333333337,7.825,0.0,10.0075,5619.117647058823,50.07
Rangamati,53.32,60.77,2.21,1.29,320.44,0.0,69.38,5.38,88.86666666666667,Satisfactory,60.77,88.86666666666667,2.7625,0.0,1.345,2084.9411764705883,69.38
Habiganj,66.2,83.54,1.37,8.14,580.79,0.0,37.91,26.6,120.66666666666667,Moderate,83.54,120.66666666666667,1.7125,0.0,6.65,3616.4117647058824,37.91
Maulvibazar,74.1,92.46,1.74,13.71,647.54,0.0,37.55,23.56,147.0,Moderate,92.46,147.0,2.175,0.0,5.89,4009.0588235294117,37.55
Sunamganj,56.29,65.43,0.81,5.01,400.54,0.0,39.34,12.92,93.81666666666666,Satisfactory,65.43,93.81666666666666,1.0125,0.0,3.23,2556.1176470588234,39.34
Sylhet,92.94,109.94,1.8,19.02,761.03,0.62,5.05,27.61,209.79999999999998,Poor,106.62666666666667,209.79999999999998,2.25,0.775,6.9025,4676.64705882353,5.05
Bagerhat,201.74,232.77,9.3,23.65,1094.82,0.0,77.25,30.15,362.8769230769231,Very Poor,188.51333333333335,362.8769230769231,11.625000000000002,0.0,7.5375,6640.117647058823,77.25
Chuadanga,121.74,168.91,8.46,36.33,1174.93,0.0,27.18,129.7,301.33846153846156,Very Poor,145.94,301.33846153846156,10.575000000000001,0.0,32.425,7111.35294117647,27.18
Jessore,171.81,213.03,5.48,21.94,1108.17,0.0,31.47,57.76,339.8538461538462,Very Poor,175.35333333333335,339.8538461538462,6.85,0.0,14.44,6718.64705882353,31.47
Jhenaidah,118.49,159.2,6.08,22.28,974.66,0.0,35.05,57.76,294.96666666666664,Poor,139.46666666666667,294.96666666666664,7.6,0.0,14.44,5933.294117647059,35.05
Khulna,217.34,247.9,8.82,19.19,1028.06,0.0,77.96,28.37,374.87692307692305,Very Poor,198.6,374.87692307692305,11.025,0.0,7.0925,6247.411764705882,77.96
Kushtia,117.85,161.34,6.2,46.61,1081.47,0.18,10.82,56.74,292.8333333333333,Poor,140.89333333333332,292.8333333333333,7.75,0.225,14.185,6561.588235294118,10.82
Magura,106.32,146.84,5.13,37.01,934.6,0.04,15.74,67.89,254.39999999999998,Poor,131.22666666666666,254.39999999999998,6.4125,0.05,16.9725,5697.64705882353,15.74
Meherpur,146.84,194.81,12.04,33.24,1415.25,0.0,27.54,62.82,320.6461538461539,Very Poor,163.20666666666665,320.6461538461539,15.05,0.0,15.705,8525.0,27.54
Narail,165.32,201.5,3.67,33.59,1134.87,0.0,25.39,45.09,334.86153846153843,Very Poor,167.66666666666669,334.86153846153843,4.5875,0.0,11.2725,6875.7058823529405,25.39
Satkhira,141.22,166.37,4.11,4.76,674.25,0.0,79.39,11.65,316.32307692307694,Very Poor,144.24666666666667,316.32307692307694,5.137500000000001,0.0,2.9125,4166.176470588235,79.39
Dhaka,145.91,193.46,2.21,30.5,1415.25,10.39,0.18,29.39,319.9307692307692,Very Poor,162.30666666666667,319.9307692307692,2.7625,12.9875,7.3475,8525.0,0.18
Faridpur,149.54,192.34,6.56,42.16,1348.5,4.53,0.5,166.18,322.7230769230769,Very Poor,161.56,322.7230769230769,8.2,5.6625,41.545,8132.35294117647,0.5
Gazipur,130.42,159.32,1.19,21.08,1161.58,3.05,0.88,30.91,308.0153846153846,Very Poor,139.54666666666665,308.0153846153846,1.4875,3.8125,7.7275,7032.823529411765,0.88
Gopalganj,280.75,332.4,7.51,26.73,2002.72,8.72,0.05,105.38,423.65384615384613,Severe,282.4,423.65384615384613,9.3875,10.900000000000002,26.345,11980.70588235294,0.05
Jamalpur,235.22,272.39,21.94,40.1,1735.69,0.04,17.88,110.45,388.63076923076926,Very Poor,222.39,388.63076923076926,27.425,0.05,27.6125,10409.941176470587,17.88
Kishoreganj,129.75,165.32,1.22,15.59,1188.28,3.52,0.44,25.84,307.5,Very Poor,143.54666666666665,307.5,1.525,4.4,6.46,7189.882352941177,0.44
Madaripur,182.01,218.09,5.07,32.56,1321.79,0.39,7.96,112.47,347.7,Very Poor,178.7266666666667,347.7,6.3375,0.4875,28.1175,7975.235294117647,7.96
Manikganj,140.86,181.11,2.56,25.36,1228.33,1.76,1.48,67.89,316.04615384615386,Very Poor,154.07333333333335,316.04615384615386,3.2,2.2,16.9725,7425.470588235294,1.48
Munshiganj,254.45,312.06,12.88,65.8,2910.61,4.41,1.2,54.72,403.4230769230769,Severe,262.06,403.4230769230769,16.1,5.5125,13.68,17321.235294117647,1.2
Mymensingh,113.36,139.56,1.61,21.25,1174.93,1.26,2.91,38.51,277.8666666666667,Poor,126.37333333333333,277.8666666666667,2.0125,1.575,9.6275,7111.35294117647,2.91
Narayanganj,274.24,330.41,11.33,54.15,3578.19,39.34,0.06,38.0,418.6461538461539,Severe,280.41,418.6461538461539,14.1625,49.175000000000004,9.5,21248.176470588234,0.06
Narsingdi,129.56,162.15,1.25,20.39,1148.22,0.83,3.44,20.01,307.3538461538462,Very Poor,141.43333333333334,307.3538461538462,1.5625,1.0375,5.0025,6954.235294117647,3.44
Netrokona,59.77,68.12,0.75,7.63,500.68,0.02,33.98,12.67,99.61666666666667,Satisfactory,68.12,99.61666666666667,0.9375,0.025,3.1675,3145.176470588235,33.98
Rajbari,135.87,169.52,3.37,26.05,1201.63,2.79,0.95,88.16,312.2076923076923,Very Poor,146.34666666666666,312.2076923076923,4.2125,3.4875,22.04,7268.411764705883,0.95
Shariatpur,180.1,213.47,4.59,26.05,1562.12,0.02,34.33,38.51,346.2307692307692,Very Poor,175.64666666666665,346.2307692307692,5.7375,0.025,9.6275,9388.941176470587,34.33
Sherpur,90.56,107.56,1.65,21.94,921.25,0.45,7.69,41.54,201.86666666666667,Poor,105.04,201.86666666666667,2.0625,0.5625,10.385,5619.117647058823,7.69
Tangail,126.12,157.62,3.07,26.39,1188.28,9.84,0.14,26.09,304.7076923076923,Very Poor,138.41333333333333,304.7076923076923,3.8375,12.3,6.5225,7189.882352941177,0.14
Bogra,141.29,168.0,2.03,25.02,1401.9,7.6,0.17,51.17,316.37692307692305,Very Poor,145.33333333333334,316.37692307692305,2.5374999999999996,9.5,12.7925,8446.470588235294,0.17
Joypurhat,164.22,192.8,2.12,20.05,1735.69,12.74,0.05,24.57,334.0153846153846,Very Poor,161.86666666666667,334.0153846153846,2.65,15.925,6.1425,10409.941176470587,0.05
Naogaon,179.59,207.34,1.55,21.08,1441.96,1.33,2.57,31.41,345.83846153846156,Very Poor,171.56,345.83846153846156,1.9375,1.6625,7.8525,8682.117647058823,2.57
Natore,115.79,142.44,3.07,29.82,1134.87,4.97,0.65,109.43,285.9666666666667,Poor,128.29333333333332,285.9666666666667,3.8375,6.2125,27.3575,6875.7058823529405,0.65
Nawabganj,310.38,359.41,14.66,39.41,2162.93,10.28,0.02,180.36,446.44615384615383,Severe,311.76250000000005,446.44615384615383,18.325,12.85,45.09,12923.117647058822,0.02
Pabna,128.34,152.62,4.59,39.76,1214.98,2.63,2.5,105.38,306.4153846153846,Very Poor,135.07999999999998,306.4153846153846,5.7375,3.2875,26.345,7346.941176470588,2.5
Rajshahi,123.84,152.58,4.35,30.16,1121.52,1.29,4.65,80.05,302.95384615384614,Very Poor,135.05333333333334,302.95384615384614,5.437499999999999,1.6125,20.0125,6797.176470588235,4.65
